time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2025-01-01T00:00,61.9,57,46.5,0,0.000,0.000,0.000,0.000,1004.3,0.000,102690.289,94,0.81,2.9,3.7,212,213,3.8,57.2,62.2,59.4,0.195,0.206,0.000
2025-01-01T01:00,55.9,69,45.8,0,0.000,0.000,0.000,0.000,1004.1,0.000,76771.656,61,0.47,3.2,7.0,258,253,6.9,54.3,59.2,54.2,0.196,0.205,-0.000
2025-01-01T02:00,53.3,79,47.0,0,0.000,0.000,0.000,0.000,1004.9,0.000,60367.453,100,0.29,3.4,7.4,293,270,7.4,52.5,56.6,52.0,0.197,0.204,-0.000
2025-01-01T03:00,53.8,87,50.0,0,0.000,0.000,0.000,0.000,1005.1,0.000,47900.262,100,0.18,3.4,6.8,328,287,6.9,52.3,54.7,50.3,0.199,0.204,-0.000
2025-01-01T04:00,53.0,86,48.9,0,0.000,0.000,0.000,0.000,1005.4,0.000,50524.934,100,0.19,4.4,3.4,15,323,4.3,52.8,53.2,49.1,0.200,0.204,-0.000
2025-01-01T05:00,52.4,84,47.8,0,0.000,0.000,0.000,0.000,1005.8,0.000,49540.684,99,0.22,1.4,3.8,252,234,4.0,53.6,52.1,47.8,0.201,0.204,-0.000
2025-01-01T06:00,50.8,89,47.7,0,0.000,0.000,0.000,0.000,1006.1,0.000,10498.688,100,0.14,4.3,4.4,357,311,4.7,53.1,51.4,47.5,0.202,0.204,-0.000
2025-01-01T07:00,48.4,91,45.9,0,0.000,0.000,0.000,0.000,1006.1,0.000,10170.604,100,0.10,2.9,2.1,9,49,2.9,53.7,50.8,47.8,0.203,0.205,-0.000
2025-01-01T08:00,47.5,96,46.4,0,0.000,0.000,0.000,0.000,1005.8,0.000,656.168,100,0.04,4.3,5.6,348,355,5.6,54.2,50.7,48.7,0.203,0.205,-0.000
2025-01-01T09:00,46.3,94,44.7,0,0.000,0.000,0.000,0.000,1005.5,0.000,656.168,100,0.06,3.4,6.8,307,287,5.6,55.0,51.0,49.6,0.204,0.205,-0.000
