time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2023-01-01T00:00,67.6,86,63.2,NaN,0.000,0.000,0.000,0.000,1010.1,0.000,51837.270,66,0.32,4.7,11.9,161,157,10.3,68.9,63.7,62.9,0.200,0.197,0.000
2023-01-01T01:00,65.2,91,62.5,NaN,0.000,0.000,0.000,0.000,1009.5,0.000,44619.422,97,0.19,3.8,9.3,135,159,9.6,67.6,63.1,62.5,0.197,0.195,0.000
2023-01-01T02:00,64.6,90,61.6,NaN,0.000,0.000,0.000,0.000,1010.1,0.000,45603.676,90,0.21,1.8,5.2,360,187,2.2,66.7,62.5,61.4,0.195,0.193,-0.000
2023-01-01T03:00,63.8,91,61.1,NaN,0.000,0.000,0.000,0.000,1010.0,0.000,43307.086,49,0.18,1.9,8.5,159,180,5.8,65.9,62.1,61.2,0.193,0.191,-0.000
2023-01-01T04:00,61.9,94,60.2,NaN,0.000,0.000,0.000,0.000,1010.3,0.000,656.168,100,0.11,3.7,9.2,155,177,6.7,65.7,61.5,60.0,0.192,0.190,0.001
2023-01-01T05:00,62.8,98,62.2,NaN,0.000,0.000,0.000,0.000,1009.8,0.000,1640.420,100,0.04,2.3,7.5,151,197,4.9,65.3,60.9,59.6,0.190,0.189,0.000
2023-01-01T06:00,62.2,99,61.9,NaN,0.000,0.000,0.000,0.000,1010.0,0.000,328.084,100,0.02,3.6,6.7,150,200,4.7,64.2,60.5,59.2,0.189,0.188,0.000
2023-01-01T07:00,62.1,100,62.1,NaN,0.000,0.000,0.000,0.000,1009.6,0.000,0.000,100,0.00,5.1,9.6,195,202,6.9,63.7,60.2,59.6,0.188,0.187,-0.000
2023-01-01T08:00,62.0,100,62.0,NaN,0.000,0.000,0.000,0.000,1009.3,0.000,328.084,100,0.00,1.9,5.8,249,234,6.3,63.3,60.1,60.0,0.187,0.186,-0.000
2023-01-01T09:00,60.5,100,60.5,NaN,0.000,0.000,0.000,0.000,1009.8,0.000,328.084,100,0.00,1.4,3.8,279,234,2.0,63.1,60.0,59.7,0.186,0.185,0.000
2023-01-01T10:00,59.3,98,58.7,NaN,0.000,0.000,0.000,0.000,1010.2,0.000,0.000,100,0.03,0.8,2.5,304,260,2.7,63.0,60.0,59.7,0.185,0.184,-0.000
2023-01-01T11:00,58.1,96,57.0,NaN,0.000,0.000,0.000,0.000,1010.8,0.000,328.084,100,0.07,0.8,0.4,56,90,1.3,62.8,59.9,60.0,0.185,0.184,-0.000
2023-01-01T12:00,57.0,99,56.7,NaN,0.000,0.000,0.000,0.000,1011.9,0.000,328.084,100,0.02,0.2,0.5,180,333,0.7,62.0,59.8,59.6,0.184,0.183,-0.000
2023-01-01T13:00,56.3,100,56.3,NaN,0.000,0.000,0.000,0.000,1012.0,0.000,328.084,100,0.00,2.1,4.1,122,131,4.0,61.6,59.8,60.5,0.183,0.183,-0.000
2023-01-01T14:00,57.0,100,57.0,NaN,0.000,0.000,0.000,0.000,1012.6,0.000,328.084,100,0.00,1.7,3.2,113,129,3.4,61.6,60.3,62.8,0.183,0.182,0.000
2023-01-01T15:00,61.1,94,59.4,NaN,0.000,0.000,0.000,0.000,1013.4,0.000,656.168,100,0.11,2.0,2.2,90,90,3.1,64.1,61.4,66.0,0.182,0.182,0.000
2023-01-01T16:00,64.1,94,62.3,NaN,0.000,0.000,0.000,0.000,1013.3,0.000,656.168,100,0.12,1.6,1.8,262,270,7.4,66.9,63.0,69.7,0.181,0.181,0.000
2023-01-01T17:00,66.5,88,62.8,NaN,0.000,0.000,0.000,0.000,1013.2,0.000,656.168,100,0.27,2.7,3.2,294,295,5.8,69.8,65.7,75.3,0.179,0.180,0.000
2023-01-01T18:00,67.6,89,64.2,NaN,0.000,0.000,0.000,0.000,1012.4,0.000,656.168,100,0.25,1.1,1.4,191,198,6.0,71.6,67.7,75.8,0.176,0.178,0.000
2023-01-01T19:00,70.5,82,64.7,NaN,0.000,0.000,0.000,0.000,1011.9,0.000,57086.613,9,0.46,2.0,2.2,180,180,5.4,73.1,69.7,76.7,0.173,0.177,0.000
2023-01-01T20:00,72.3,77,64.7,NaN,0.000,0.000,0.000,0.000,1011.5,0.000,67257.219,2,0.62,2.7,3.0,204,207,7.8,74.1,70.7,75.8,0.171,0.175,0.000
2023-01-01T21:00,73.4,72,63.9,NaN,0.000,0.000,0.000,0.000,1011.7,0.000,74803.148,0,0.79,2.9,3.2,180,188,6.9,74.3,70.8,73.3,0.169,0.173,0.000
2023-01-01T22:00,72.3,70,62.0,NaN,0.000,0.000,0.000,0.000,1011.9,0.000,80708.664,0,0.81,3.0,3.9,163,170,3.8,73.9,69.9,69.4,0.168,0.172,0.000
2023-01-01T23:00,67.0,80,60.7,NaN,0.000,0.000,0.000,0.000,1012.0,0.000,60039.371,0,0.45,5.3,7.6,158,166,7.2,72.0,67.7,63.2,0.169,0.171,0.000
