time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2021-01-01T00:00,41.1,70,32.1,NaN,0.000,0.000,0.000,0.000,1024.3,0.000,82021.000,100,0.26,4.8,11.5,304,316,14.1,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T01:00,39.2,64,28.0,NaN,0.000,0.000,0.000,0.000,1025.0,0.000,92519.688,98,0.29,6.5,14.1,333,337,18.1,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T02:00,37.0,66,26.7,NaN,0.000,0.000,0.000,0.000,1026.0,0.000,88910.766,51,0.25,5.8,15.4,332,339,17.9,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T03:00,35.2,68,25.7,NaN,0.000,0.000,0.000,0.000,1027.0,0.000,85301.836,0,0.22,5.1,12.3,331,341,10.1,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T04:00,33.1,71,24.7,NaN,0.000,0.000,0.000,0.000,1027.5,0.000,78740.156,97,0.19,5.4,11.8,318,335,9.8,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T05:00,31.8,70,23.1,NaN,0.000,0.000,0.000,0.000,1027.7,0.000,81036.742,1,0.18,4.5,14.2,333,348,11.0,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T06:00,31.0,72,23.0,NaN,0.000,0.000,0.000,0.000,1028.0,0.000,77427.820,0,0.16,5.0,15.3,342,353,12.1,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T07:00,30.1,76,23.4,NaN,0.000,0.000,0.000,0.000,1028.9,0.000,69881.891,13,0.14,3.2,12.2,335,351,9.4,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T08:00,29.3,79,23.6,NaN,0.000,0.000,0.000,0.000,1029.4,0.000,66272.969,3,0.12,2.4,10.3,338,360,7.6,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T09:00,27.0,76,20.5,NaN,0.000,0.000,0.000,0.000,1029.7,0.000,65616.797,0,0.12,1.9,9.2,315,354,6.7,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T10:00,26.4,76,19.8,NaN,0.000,0.000,0.000,0.000,1029.7,0.000,66929.133,86,0.12,3.6,9.9,338,3,6.5,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T11:00,26.0,83,21.6,NaN,0.000,0.000,0.000,0.000,1029.9,0.000,54790.027,0,0.08,1.4,7.4,351,3,4.0,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T12:00,25.7,84,21.6,NaN,0.000,0.000,0.000,0.000,1030.5,0.000,53805.773,0,0.08,2.2,6.5,6,14,4.5,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T13:00,26.7,86,23.1,NaN,0.000,0.000,0.000,0.000,1030.8,0.000,51509.188,1,0.07,1.6,6.1,45,28,4.0,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T14:00,30.2,90,27.6,NaN,0.000,0.000,0.000,0.000,1031.4,0.000,46916.012,5,0.06,2.1,6.6,32,35,9.4,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T15:00,35.3,74,27.8,NaN,0.000,0.000,0.000,0.000,1031.5,0.000,72178.477,54,0.18,5.9,7.8,37,37,13.9,NaN,NaN,NaN,NaN,NaN,0.000
